student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category
23994,17.8,81,6.7,97.4,A,Excellent
8865,18.3,82.4,4.6,90.5,A,Excellent
1292,32.5,100,10,100,A,Excellent
39302,9.4,73.5,7.4,76.3,B,Good
1123,19.5,98.5,7.3,95.5,A,Excellent
12458,12.8,76.6,6.8,88.3,A,Good
29287,11,79.3,6.6,83.3,B,Good
23653,19,69.6,7.3,100,A,Excellent
29162,13.2,90.9,6.6,92.1,A,Excellent
10653,12.3,84.1,9.2,100,A,Excellent
11632,12.7,98.3,6.7,76.2,B,Good
23602,8.3,93.5,7.2,86.2,A,Good
12391,23.6,90.5,5.8,100,A,Excellent
1915,2.4,100,6.1,42.2,D,Poor
19023,13.7,87.1,8.1,87.7,A,Good
26086,19,78,5.8,86.4,A,Good
15479,26.3,78.9,8.6,100,A,Excellent
27287,22.6,72.2,4.5,93.8,A,Excellent
15934,19.8,87.7,5.5,100,A,Excellent
18523,7.5,84.6,7.2,73.9,B,Average
16825,25.6,94.9,4.9,100,A,Excellent
10620,1.8,88.3,4.4,52.5,D,Poor
34419,12.6,93.9,4.6,85.3,A,Good
2075,10.7,92.4,3.9,75.7,B,Good
17764,25.4,91,8.4,100,A,Excellent
4333,20.3,86,5.2,98.9,A,Excellent
9927,9.2,76.5,7.9,76.9,B,Good
28007,9.1,79.8,0.9,83.1,B,Good
3141,20.9,84.6,4.8,100,A,Excellent
9089,14.1,74.3,8,93.9,A,Excellent
23779,13.9,72.1,4.7,87.6,A,Good
39468,18.4,88.7,7.5,93.5,A,Excellent
6646,27.6,66.3,7.5,100,A,Excellent
36843,22.9,66.1,7.2,100,A,Excellent
31905,24.2,85.4,6.3,100,A,Excellent
9033,18.4,80.2,5.4,93.3,A,Excellent
13884,28.8,90.8,6.8,100,A,Excellent
31194,16.9,84.1,6.3,91.8,A,Excellent
8302,11.6,87.1,4.6,89.1,A,Good
14043,24.1,73.3,4.1,100,A,Excellent
6563,13.6,83.9,5.4,72.5,B,Average
27754,14.2,91.3,8.7,93,A,Excellent
29508,24.2,96.8,7.1,100,A,Excellent
25914,17.1,93.9,4.2,100,A,Excellent
2954,25.6,69.3,2.8,100,A,Excellent
30386,22.7,72.4,2.1,97.3,A,Excellent
25682,12.2,100,5,69.9,C,Average
36729,17.6,96,5.8,93.8,A,Excellent
38120,20.4,94.8,6.9,100,A,Excellent
21033,21.4,99.1,4.4,100,A,Excellent
12403,13.6,90.2,5.5,77.6,B,Good
S150,4,70,10,73,B,Average
17417,19.6,71.7,6.6,85.7,A,Good
8661,31.1,87.1,5.3,100,A,Excellent
26680,23,100,5.7,100,A,Excellent
34771,11.7,79.8,4.9,85.7,A,Good
12314,5.8,94.2,8.7,62.3,C,Average
7616,7.4,87.1,2.2,73,B,Average
24810,13.5,85.2,6.8,96.9,A,Excellent
10231,21.7,83.5,8.5,100,A,Excellent
23456,15.6,100,8.2,83.3,B,Good
24477,22.9,75.7,4.1,100,A,Excellent
8924,14.1,94.7,4,100,A,Excellent
10213,19.7,94.4,3.2,84.3,B,Good
5867,10.4,85.1,6.8,77.4,B,Good
20720,12.8,100,8.4,73.7,B,Average
32154,10.8,82.9,8.1,64.9,C,Average
18254,16.4,82.4,10,92.4,A,Excellent
4930,14,100,2.2,100,A,Excellent
6865,14.9,86,4.2,93.6,A,Excellent
11386,13.9,71.3,5,100,A,Excellent
15271,13.7,73.7,6.6,82.3,B,Good
36702,25.3,57.5,5.3,100,A,Excellent
25886,14.6,80.1,5.2,83,B,Good
38879,8.7,91.7,6.5,67.7,C,Average
10455,8.1,90.6,5,67.1,C,Average
7425,2.4,94.9,5,55.1,C,Poor
35123,12.8,88.2,4.6,74,B,Average
16217,5.1,78.3,5.7,55.4,C,Poor
34786,28.4,77.3,5.5,100,A,Excellent
13674,14.8,86.6,8.5,77.2,B,Good
31625,25.6,93.4,6.9,100,A,Excellent
12833,13.9,90.4,4.1,80.1,B,Good
5840,10.9,85.5,5.2,80.4,B,Good
5272,33.1,92.5,4.6,100,A,Excellent
15783,12.2,69.7,7.4,77.5,B,Good
29123,15.5,81.1,7,90.4,A,Excellent
23026,5.7,90.6,6.1,74.7,B,Average
17124,18.5,85.4,5.6,83.4,B,Good
12787,16.4,92.1,4.6,94.6,A,Excellent
20034,18.3,94.2,7.3,93.3,A,Excellent
19273,21.1,89.2,6.6,100,A,Excellent
6541,17,86.5,5.8,81.1,B,Good
12940,24.3,90.5,3.5,100,A,Excellent
16497,19,84.6,4.6,100,A,Excellent
37092,9.5,100,5.8,84.3,B,Good
9177,23.8,87.1,3.8,100,A,Excellent
30118,8.9,78.8,4.2,89,A,Good
20233,9.9,91.7,5.3,81,B,Good
8319,9.2,81.1,4.5,62.6,C,Average
32860,4.2,84.6,7.6,66.5,C,Average
19990,12.1,92.9,5.7,81.1,B,Good
19908,16.8,64.9,8.7,96.3,A,Excellent
7608,10.5,86.5,6.8,68.4,C,Average
15992,19.5,90,6.6,97.3,A,Excellent
16850,20.1,85.7,3.4,90.7,A,Excellent
25738,25.2,86.2,5,100,A,Excellent
26928,9.3,83.6,5.1,67.9,C,Average
35084,24.5,78.9,8.4,100,A,Excellent
7358,13.4,95.5,2.2,66.5,C,Average
21819,14.2,78.1,1.5,81.3,B,Good
25874,11.1,74.9,10,74,B,Average
38055,10.5,64.6,4.9,70.9,B,Average
8520,22.9,85.3,5.6,100,A,Excellent
27919,19.1,79.9,5.9,100,A,Excellent
11798,9.7,94,7.7,85.7,A,Good
32783,16.6,97.7,5.3,100,A,Excellent
25673,23,82.3,5.8,100,A,Excellent
2476,20.1,80,8.7,87.3,A,Good
26390,10.3,100,6.3,70.4,B,Average
35216,15.9,78,3.6,90.9,A,Excellent
8874,12.9,89.7,5.2,80.9,B,Good
14324,13.2,84.1,7.3,84.3,B,Good
22155,17.4,89.9,6.4,83,B,Good
25008,9.1,73.9,3.9,50.7,D,Poor
1588,12.4,90.8,8.7,82.6,B,Good
15970,22,86.5,7.8,100,A,Excellent
12144,26.2,98.9,4.3,96.5,A,Excellent
8826,5.4,80.9,3.9,70.4,B,Average
30495,20.3,89.5,6.1,100,A,Excellent
1126,7,82.7,4.8,78.1,B,Good
11428,10.9,100,5.5,80.7,B,Good
29748,15.7,90.3,5.1,78.4,B,Good
34756,16.5,82.3,6.6,84.6,B,Good
15659,15.4,89.3,6.4,71.8,B,Average
37213,3.3,72.9,8.9,56.9,C,Poor
924,10.1,92.1,9.8,69.3,C,Average
16530,11.3,58.5,5.7,70.6,B,Average
10911,14.5,75,4.9,74.2,B,Average
14964,14.7,79.6,8.4,98.4,A,Excellent
35679,10.7,93.4,4.2,77.5,B,Good
27728,18.9,81.7,4.4,85.8,A,Good
10347,21.2,98.1,4.3,98.5,A,Excellent
26351,20.1,93.7,5.9,100,A,Excellent
28471,9.1,86.2,7.7,78.6,B,Good
27119,1.1,80.4,3.5,76.6,B,Good
18571,11.3,78.7,3.8,83.6,B,Good
28520,10.2,96.9,7.9,67.3,C,Average
39202,6.8,88.3,5.6,69.7,C,Average
25463,12.7,100,8,82.9,B,Good
4145,4.4,75.3,9.2,70.7,B,Average
29845,12.2,84.6,8.1,100,A,Excellent
32785,18.4,94,6.4,87.3,A,Good
17980,22.5,94.3,6.6,92.2,A,Excellent
34044,25,100,5.6,100,A,Excellent
3625,28.3,80.1,5.2,100,A,Excellent
36993,13.1,62.8,8.6,83.3,B,Good
24052,14.1,82.3,8.6,74.6,B,Average
23666,4,76.5,4.6,53.3,D,Poor
1171,20.3,64.2,3.4,82.4,B,Good
972,10.2,94.7,6.3,82.3,B,Good
3094,17.9,76.4,6.5,88,A,Good
4712,19.1,100,2.7,93.5,A,Excellent
16662,13.5,75,4.6,71.2,B,Average
33127,17.2,83.7,4.4,100,A,Excellent
30519,4.9,100,4.1,58.3,C,Poor
17287,10.6,100,7.3,76.5,B,Good
30431,16.6,77.7,4.5,100,A,Excellent
14122,12.9,97.1,7.9,90.3,A,Excellent
4209,9,81.3,5.9,82,B,Good
23096,13.6,76.7,2.2,69.8,C,Average
9115,15.1,83.2,7.4,97.5,A,Excellent
29369,16,91,8.6,82.4,B,Good
9300,7.6,94.5,1.8,65.3,C,Average
7642,15.6,84.1,9.5,96.8,A,Excellent
27304,21,76.9,4.2,96,A,Excellent
3157,6.3,94,7.8,62,C,Average
3461,26.9,64.4,4.8,100,A,Excellent
16971,8.2,82.7,6.4,65,C,Average
5097,21.2,67.9,7.3,100,A,Excellent
8567,23.6,96.7,7.1,97.5,A,Excellent
5853,19.3,97.7,7.4,90.6,A,Excellent
28826,18.6,90.9,7.9,100,A,Excellent
39554,15.7,96.2,5.2,82.9,B,Good
29382,29.8,83.9,10,100,A,Excellent
30770,26.7,80.9,5.5,100,A,Excellent
39362,14.8,100,6.9,90.9,A,Excellent
21227,7.2,95.6,4.1,73.4,B,Average
26174,17.3,90.4,6.1,95.5,A,Excellent
27074,15.4,73,9.4,64,C,Average
15031,8.3,94.3,3,41.8,D,Poor
16050,4.4,79.8,7.6,56.6,C,Poor
38090,20.8,76.9,2.7,86.1,A,Good
21504,9.4,71.5,10,75.4,B,Good
38809,6.9,93.3,9.1,71.2,B,Average
12525,9.6,77.6,6.2,65.9,C,Average
24517,28.6,98.9,8,100,A,Excellent
31081,14.6,89.8,7.5,98.6,A,Excellent
29647,11.1,74.7,7.6,61.6,C,Average
4859,15.9,71.7,8.9,84.9,B,Good
3133,2.9,80.9,4.9,40.2,D,Poor
31182,21.6,84.1,3.4,100,A,Excellent
39792,16.5,65.3,5.3,76.2,B,Good
26267,18.7,87.2,7.3,100,A,Excellent
7367,27.1,95.6,7.7,100,A,Excellent
9176,12.4,82.2,10,73.9,B,Average
27345,10.7,90.9,10,61.3,C,Average
2471,22.5,73.5,3.4,100,A,Excellent
16240,15.8,82.8,3.3,89.8,A,Good
15089,11.1,93.5,6.9,72,B,Average
34032,13.9,100,6.2,80.8,B,Good
1732,12.6,92.8,4.8,82.4,B,Good
29124,15.6,100,7,99.5,A,Excellent
38232,7.6,76.5,8.7,70.6,B,Average
12621,11.6,81.4,4.1,76.6,B,Good
S027,2,54,3,40,D,Poor
31036,27.9,73.5,5.4,100,A,Excellent
34485,19.4,89.6,2.8,97.2,A,Excellent
21060,7,76.6,6,51.2,D,Poor
19381,22.3,86,4.2,97.2,A,Excellent
11510,22.4,73.5,4.9,100,A,Excellent
37774,15.9,96.2,6.9,77.5,B,Good
31254,19.1,100,5.5,100,A,Excellent
30627,18.6,90.5,6.9,100,A,Excellent
22711,1.8,72.4,7.8,59.8,C,Poor
36063,7.6,91.8,3.9,76.2,B,Good
26474,17.2,84.5,8.5,100,A,Excellent
24834,22.8,86.2,6.9,99.6,A,Excellent
24143,20.4,72,3.9,100,A,Excellent
36988,11.6,64.8,5.9,78.7,B,Good
13097,25.9,96.5,3.8,100,A,Excellent
18340,12.5,80.4,3.6,79.9,B,Good
26211,9.5,100,5.8,73,B,Average
2690,19.3,88.9,5.4,74.6,B,Average
22331,8.9,80.1,5,81.7,B,Good
14038,12.3,87,8.3,85.5,A,Good
39568,14.4,100,6.3,93.3,A,Excellent
8294,30.3,75.2,4.1,100,A,Excellent
4366,29.7,72.7,5.4,100,A,Excellent
25694,15.3,72.7,6.5,80,B,Good
7595,25.1,85,5.4,100,A,Excellent
10961,0,78.6,5,41.7,D,Poor
3617,8.1,84.2,4.4,58.8,C,Poor
23337,8.7,82.5,6,80.7,B,Good
5247,10.8,76.8,7,75.7,B,Good
21406,16.3,87.2,3.6,82.6,B,Good
141,16.6,70.8,7,95,A,Excellent
7030,17.3,79.7,6.8,84,B,Good
27280,24.7,100,6.2,100,A,Excellent
23016,5.2,76.9,3,57.2,C,Poor
39653,12,79.3,3.2,73.1,B,Average
22540,20.9,68,6.3,100,A,Excellent
29138,22.5,93.7,4.4,95.6,A,Excellent
36130,17.5,64.3,4.3,100,A,Excellent
26971,8.1,100,6.4,64,C,Average
17024,20,85.8,6.2,100,A,Excellent
1795,16.5,67.3,9.8,97.8,A,Excellent
36479,14.5,89.9,5.2,83.3,B,Good
35417,12.1,82,6.4,85.8,A,Good
29791,13.3,87.1,7.6,82.3,B,Good
15078,22.3,89.6,8.5,100,A,Excellent
22232,12.7,86.8,6.5,81,B,Good
S010,3,52,9,59,D,Poor
3884,8.8,98.9,3.8,81.8,B,Good
36350,7.2,82.6,5.5,65.5,C,Average
906,15.3,87,1.6,97.9,A,Excellent
39682,2.8,86.7,8.9,58,C,Poor
24279,5.2,76.6,7,77.1,B,Good
34022,9.4,96.8,8.1,63.8,C,Average
8109,22.7,94.7,5,100,A,Excellent
1307,15.2,79.2,8.7,84.8,B,Good
23631,17.7,100,5.2,89.1,A,Good
12455,12,89.6,5,84.5,B,Good
6304,22.9,93.3,2.6,97.7,A,Excellent
30577,0,94,4.5,45.5,D,Poor
34594,15.1,77,5.9,89.4,A,Good
468,20.3,89.4,4.9,100,A,Excellent
37909,19.7,84.4,4.8,79.9,B,Good
28366,10.6,73,4.5,70.8,B,Average
11794,15.1,97.5,3.4,100,A,Excellent
22072,11.1,66.5,9.1,75.2,B,Good
S038,15,51,1,58.5,D,Poor
35210,6.6,86.6,5.7,60.1,C,Average
1180,7.3,86.5,9.5,56.9,C,Poor
15079,2.4,83.1,3.9,57.9,C,Poor
23185,19.6,82.6,7.9,95.1,A,Excellent
30333,8,94.6,5.2,63,C,Average
16182,18.5,75.8,10,92.9,A,Excellent
6301,13.4,83.3,5.7,83.5,B,Good
37338,20.3,76.6,4.2,100,A,Excellent
24257,14.9,82.2,7.7,92.6,A,Excellent
6087,12.8,91.3,5.6,63.6,C,Average
8456,20.1,78.8,6.5,99.3,A,Excellent
39278,22,85.9,8.7,100,A,Excellent
24379,4,81.9,6.5,82.4,B,Good
5356,21.3,89.1,4,100,A,Excellent
37653,21.3,75.8,4.2,99.1,A,Excellent
15956,19.4,98.6,6.9,92.2,A,Excellent
39151,15.9,93.9,5.5,100,A,Excellent
12465,16.8,77.9,3.7,86.6,A,Good
27197,0.4,75.9,6.5,68,C,Average
2893,20.4,100,5,100,A,Excellent
39261,9.6,96.8,3.8,100,A,Excellent
31690,12.7,80,4.8,95.2,A,Excellent
3162,18.2,84.1,4.5,100,A,Excellent
31589,25,87.7,3.9,100,A,Excellent
22806,16.7,73.8,2.6,100,A,Excellent
14446,8.4,89,4.3,49.8,D,Poor
5646,2.8,85.8,5,53.6,D,Poor
3798,16.5,80.7,3.5,85.5,A,Good
16614,16.1,84.2,1.8,96.1,A,Excellent
33010,10.7,83.8,8,77,B,Good
37938,15.4,95.9,3.3,89.8,A,Good
15529,8.8,80.9,5.4,71.7,B,Average
9071,21.5,75.2,3.4,97.3,A,Excellent
17725,15.1,83.7,5.2,100,A,Excellent
38394,10.6,76.6,6.4,71.6,B,Average
36080,16.6,96,4.7,85.8,A,Good
7091,11.7,69.2,5.4,86.1,A,Good
12223,21.6,55.6,3.2,95.8,A,Excellent
