student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category
S063,11,67,6,73.5,B,Good
S064,12,94,10,101.0,A+,Excellent
S065,11,84,2,70.0,B,Good
S066,3,85,5,63.5,C,Average
S067,2,92,3,59.0,D,Poor
S068,14,51,4,65.5,C,Average
S069,6,79,6,69.5,C,Average
S070,7,65,6,64.5,C,Average
S071,16,54,6,77.0,B,Good
S072,15,93,9,103.5,A+,Excellent
S073,3,83,8,71.5,B,Good
S074,2,57,7,53.5,D,Poor
S075,2,100,3,63.0,C,Average
S076,10,69,6,72.5,B,Good
S077,16,58,8,85.0,A,Excellent
S078,9,84,2,66.0,C,Average
S079,15,92,6,94.0,A+,Excellent
S080,19,57,1,69.5,C,Average
S081,13,66,3,68.0,C,Average
S082,2,55,10,61.5,C,Average
S083,17,69,2,74.5,B,Good
S084,18,58,5,80.0,A,Good
S085,8,58,8,69.0,C,Average
S086,8,84,7,79.0,B,Good
S087,6,65,8,68.5,C,Average
S088,17,60,9,91.0,A+,Excellent
S089,9,82,7,80.0,A,Good
S090,3,96,4,66.0,C,Average
S091,16,95,2,85.5,A,Excellent
S092,3,54,5,48.0,D,Poor
S093,1,54,1,32.0,D,Poor
S094,5,83,2,57.5,D,Poor
S095,2,57,7,53.5,D,Poor
S096,18,95,9,110.5,A+,Excellent
S097,16,54,4,71.0,B,Good
S098,18,59,9,92.5,A+,Excellent
S099,11,98,2,77.0,B,Good
S100,3,63,3,46.5,D,Poor
S101,6,50,6,55.0,D,Poor
S102,18,68,1,73.0,B,Good
S103,5,97,5,73.5,B,Good
S104,9,74,1,58.0,D,Poor
S105,16,77,9,97.5,A+,Excellent
S106,8,64,5,63.0,C,Average
S107,14,81,3,77.5,B,Good
S108,7,60,6,62.0,C,Average
S109,13,78,2,71.0,B,Good
S110,8,85,10,88.5,A,Excellent
S111,11,63,4,65.5,C,Average
S112,9,81,5,73.5,B,Good
S113,15,90,6,93.0,A+,Excellent
S114,3,66,2,45.0,D,Poor
S115,1,99,10,81.5,A,Good
S116,15,67,5,78.5,B,Good
S117,5,66,7,64.0,C,Average
S118,13,74,3,72.0,B,Good
S119,12,70,2,65.0,C,Average
S120,18,73,9,99.5,A+,Excellent
S121,2,85,10,76.5,B,Good
S122,7,70,7,70.0,B,Good
S123,9,79,6,75.5,B,Good
S124,9,50,8,67.0,C,Average
S125,8,76,6,72.0,B,Good
S126,4,58,3,46.0,D,Poor
S127,13,60,4,68.0,C,Average
S128,12,94,6,89.0,A,Excellent
S129,8,69,5,65.5,C,Average
S130,15,62,8,85.0,A,Excellent
S131,10,90,1,68.0,C,Average
S132,7,61,2,50.5,D,Poor
S133,2,60,1,37.0,D,Poor
S134,10,66,3,62.0,C,Average
S135,13,93,8,96.5,A+,Excellent
S136,14,88,3,81.0,A,Good
S137,7,88,10,88.0,A,Excellent
S138,17,84,3,85.0,A,Excellent
S139,18,86,1,82.0,A,Good
S140,17,73,3,79.5,B,Good
S141,14,77,7,87.5,A,Excellent
S142,6,86,2,61.0,C,Average
S143,11,83,9,90.5,A+,Excellent
S144,8,87,2,65.5,C,Average
S145,3,50,9,58.0,D,Poor
S146,3,73,4,54.5,D,Poor
S147,4,95,4,67.5,C,Average
S148,18,78,6,93.0,A+,Excellent
S149,2,64,7,57.0,D,Poor
S150,4,70,10,73.0,B,Good
S151,12,53,3,59.5,D,Poor
S152,18,91,4,93.5,A+,Excellent
S153,13,91,9,98.5,A+,Excellent
S154,18,69,5,85.5,A,Excellent
S155,13,70,7,82.0,A,Good
S156,20,56,5,83.0,A,Good
S157,10,72,3,65.0,C,Average
S158,20,56,8,92.0,A+,Excellent
S159,7,58,4,55.0,D,Poor
S160,1,85,8,68.5,C,Average
S161,1,90,5,62.0,C,Average
S162,3,60,8,60.0,C,Average
S163,9,94,9,92.0,A+,Excellent
S164,17,54,2,67.0,C,Average
S165,10,51,8,69.5,C,Average
S166,18,74,1,76.0,B,Good
S167,20,85,1,85.5,A,Excellent
S168,18,87,8,103.5,A+,Excellent
S169,2,100,5,69.0,C,Average
S170,17,90,6,97.0,A+,Excellent
S171,1,88,9,73.0,B,Good
S172,9,93,2,70.5,B,Good
S173,3,72,4,54.0,D,Poor
S174,11,89,6,84.5,A,Good
S175,4,61,2,44.5,D,Poor
S176,14,56,4,68.0,C,Average
S177,5,57,4,50.5,D,Poor
S178,9,80,2,64.0,C,Average
S179,14,67,5,76.5,B,Good
S180,20,66,9,100.0,A+,Excellent
S181,19,97,10,116.5,A+,Excellent
S182,7,92,8,84.0,A,Good
S183,8,79,2,61.5,C,Average
S184,9,59,8,71.5,B,Good
S185,19,85,10,110.5,A+,Excellent
S186,8,55,5,58.5,D,Poor
S187,6,56,7,61.0,C,Average
S188,12,75,1,64.5,C,Average
S189,6,62,1,46.0,D,Poor
S190,17,65,4,78.5,B,Good
S191,20,54,7,88.0,A,Excellent
S192,15,83,1,74.5,B,Good
S193,7,95,6,79.5,B,Good
S194,18,54,9,90.0,A+,Excellent
S195,8,67,6,67.5,C,Average
S196,14,53,1,57.5,D,Poor
S197,4,97,2,62.5,C,Average
S198,4,76,6,64.0,C,Average
S199,16,94,7,100.0,A+,Excellent
S200,1,73,7,59.5,D,Poor
